success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,,,FALSE
,,,,,html-keyboard-response,29,160817,0.0-3.0-0.13,105,904,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Cafeelite.png', width=""250.68846815834766"", height=""300""></span></span>
                    </p>",1,trinary,,target1,target2,distractor,stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\Cafeelite.png,4,7,23,72.66666667,71,50,3,0,target1,,,FALSE
,,,,,html-keyboard-response,30,169861,0.0-3.0-1.13,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,31,170699,0.0-3.0-0.14,105,832,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target1,target2,stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Tapuchips.PNG,7,8,31,71,70,35,1,0,distractor,,,FALSE
,,,,,html-keyboard-response,32,179465,0.0-3.0-1.14,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,33,180710,0.0-3.0-0.15,105,1240,"
                    <p class=""options"">
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                    </p>",2,trinary,,target1,distractor,target2,stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\Filtunamaybe.png,7,8,15,71,70,63.33333333,1,0,distractor,,,FALSE
,,,,,html-keyboard-response,34,189347,0.0-3.0-1.15,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,35,190613,0.0-3.0-0.16,105,1259,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Barackemaybe.png,3,9,19,74.33333333,70,56.33333333,6,0,target2,,,FALSE
,,,,,html-keyboard-response,36,199125,0.0-3.0-1.16,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,37,200098,0.0-3.0-0.17,105,965,"
                    <p class=""options"">
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\GelDeLin.png,stimuli\Sano99.png,stimuli\FuzeTea.png,7,8,11,71,70,70,1,0,distractor,,,FALSE
,,,,,html-keyboard-response,38,208909,0.0-3.0-1.17,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,39,212914,0.0-3.0-0.18,105,null,,null,trinary,,,,,0,0,0,null,null,null,null,null,null,null,1,,,,FALSE
,,,,,html-keyboard-response,40,218859,0.0-3.0-1.18,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,41,219924,0.0-3.0-0.19,105,1062,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Barackemaybe.png,2,9,19,78.33333333,70,56.33333333,7,0,target2,,,FALSE
,,,,,html-keyboard-response,42,229199,0.0-3.0-1.19,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,43,230451,0.0-3.0-0.20,105,1247,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target1,target2,stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\Filtunamaybe.png,1,6,15,85,71.66666667,63.33333333,5,0,distractor,,,FALSE
,,,,,html-keyboard-response,44,238978,0.0-3.0-1.20,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,45,239901,0.0-3.0-0.21,105,917,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                    </p>",3,trinary,,distractor,target2,target1,stimuli\Splendid.PNG,stimuli\GelDeLin.png,stimuli\Barackemaybe.png,4,7,19,72.66666667,71,56.33333333,3,0,target1,,,FALSE
,,,,,html-keyboard-response,46,249320,0.0-3.0-1.21,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,47,250403,0.0-3.0-0.22,105,1080,"
                    <p class=""options"">
                      <span><span><img src='stimuli\FuseTeaGreen.png', width=""123.39331619537275"", height=""300""></span></span>
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                    </p>",1,trinary,,target2,distractor,target1,stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Filtunamaybe.png,1,10,15,85,70,63.33333333,9,0,target2,,,FALSE
